Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,"Hi There!    My name is Iyana and I provide professional Resume Writing, Executive Career Coaching, Life and Success Coaching services to a wide range of professionals in STEM Technology/IT, Healthcare, Business, Media, Film, Design, Marketing and more.  I work with clients one on one to provide Dynamic Leadership Coaching and Professional Development to elevate their career skills and professional opportunities. I am so grateful to work with some of the best clients working for Top Companies like Google, Amazon, Facebook, LinkedIn and more.    Our beautiful Executive Resume and Cover Letter is Applicant Tracking Software/HRIS Keyword Optimized, for Recruiters, HR Managers, and Talent Acquisition Teams. Clients love our popular LinkedIn Transformation Package as they see super-fast results in their Career Search and Career Opportunities when I directly connect them with more Technical Recruiters, Hiring Managers, and Executives in our Circle Network adding over 100+ new connections for new opportunities.      :) Ready to Get Started, Let's Go To Work!   Step 1). Email your resume to talent@circleofopportunities.com  Step 2). Schedule  your free Resume Writing Info Session at www.calendly.com/talent-12   Step 3). Get connected and join our community on Linkedin/FB @circleofopportunities    Looking forward to speaking soon.    Thanks  Iyana Smith   Executive Career Coach",,,,true
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:22:00 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,"Hello! Hope you are well -- and very interesting work! I have been an Executive and Life Coach for well over a decade now, specializing in working with HiPo Leaders and Entrepreneurs, C-Suite Execs, Middle Managers, Millennials, and many others, regarding Career Transition and Life issues Have also been a CFO and COO for numerous Media/Entertainment and Talent Management/HR companies, so am quite familiar with your space. :) Would be happy to try and assist you here. If you are interested, please feel free to drop me a note, or give us a call. Thanks. Be well. Regards. Ash     Ash Varma  Executive and Life Coach & CFO  Varma & Associates  100 Park Avenue  Tel: 212-880-6450  Cell: 917-679-0347  LinkedIn: http://www.linkedin.com/in/ashvarmanewyork  Twitter: https://twitter.com/AshVarmaNYC  ""It is never too late to be what you might have been."" George Eliot    ",,,,true
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:22:13 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,"We  can help you build your brand as you embark on your career.  My team develops compelling customized resumes and LinkedIn profiles that will clearly identify who you are, what you have to offer, and what sets you apart.     We will help you see the connection between your academics, extracurricular activities, and work experiences, so you’ll be ready to jump start your job search.    We’re eager to help you “tell your story” effectively. You can see our services and pricing here: https://readysetyou.com. We provide profiles, resumes, and career coaching.  ",,,,true
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,"Remind you of our free first call/consultation. So we can get to know each other and gather more information.    Watch this and meet me: http://www.fernandoratkoczy.com/profinderextra.mp4     Read 100+ recommendations in my profile.     I offer 20+years experience for you to Find the Right Job Fast by doing the following:          ·	Identify right placement for your interests + strengths  ·	Discover opportunities in the hidden job market.  ·	Creating multiple offers and possibly ending with a better package than you ever had before.   ·	Apply a formula to generate a list of strengths, branding you to become indispensable to your next employer.  ·	Generate a relationship oriented, networking easy to implement  ·	Develop and compose a resume that creates such curiosity that generates calls, interviews.  ·	Identifying your target market and network through simple interaction are key to success  ·	Optimize Linked In Profile to gain visibility & targeted connections.  ·	Describe yourself in the first to visible lines of your LI profile creating visits from decision makers and connecting with key Recruiters & Hiring Managers.  ·	Becoming who decides in the interview process if the job is for you.       Please read my 100+ recommendations in my profile.    (NOTE: I'll give you FREE access to ""The Successful Job Search Center"" more info NewEdgeConsultants.com)    Send me an invite and join my network of 20K+ connections that may be of help.    All the best,    Fernando Ratkoczy  347-321-4761    ",,,,true
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 10:06:43 UTC 2020,SERVICE_MARKETPLACE,"Hello, my name is Gladys Kartin and I am fascinated with your background and interests. My thinking is that you would benefit from some clarity conversations that will help you focus on your next streps. Let’s chat and please provide your availability. Thank you ",,,,true
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,"I'm a leadership coach for JP Morgan and empower marketing, advertising, technology and business professionals to take next steps in their careers. I regularly prepare mid and senior level resources for their performance reviews and present methods to improve leadership skills. I'm also a recruiter and coach professionals to have powerful job search road maps.  My methodology is based on transferring knowledge to execute job search strategies, write compelling resumes and LinkedIn profiles, conduct mock interviews designed to nail interviews and secure offers.  My website: https://renaissance-sol.com/reviews/",,,,true
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 11:06:57 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,"A strong resume after graduation is important to tell your unique story, that will invite recruiters and interviewers to understand your background and remember you before meeting you. I have revised, edited, and created dozens of these stories that have landed interviews at Google, Microsoft, and other top companies.    As a senior-level director with 15 years of management experience from start-up to large corporations, I've reviewed countless resumes and can impart what draws my attention as a hiring manager for an applicant. I've helped my own employees find new roles (if their current role was unfulfilling) and have updated resumes for inter-industry and career changes. My desire to take my executive experience to help others inspired me to become a certified coach, providing 1-on-1, personalized coaching.    If we work together, I offer a service level that expands over several days, starting at $100 for a full week of partnership. My services include, but are not limited to:  • a minimum of three calls, to understand history, progress, and goals.  • a review and ATS scoring of your resume and LinkedIn profile, looking for what recruiters would look for  • continuous online communication for questions and feedback  • a 2-5 day turnaround dependent on complexity  • a guarantee to improve your ATS score    I would welcome the opportunity to connect to see if my experience may be a match for your request.",,,,true
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 12:07:10 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
Mon Apr 13 13:07:22 UTC 2020,SERVICE_MARKETPLACE,,,,,
