company,name,title,twitter_handle,twitter_url,twitter_status,date_added
BetterUp,Shonna Waters,VP,@Shonna_Waters,https://x.com/Shonna_Waters,VERIFIED,2026-01-12
Phenom,Cliff Jurkiewicz,VP of Global Strategy,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Gloat,Jeff Schwartz,VP of Insights,@jschwartzSV,https://x.com/jschwartzSV,NEEDS_VERIFY,2026-01-12
Eightfold.ai,Kamal Ahluwalia,President,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Eightfold.ai,Amber Grewal,Chief Growth Officer,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Greenhouse,Daniel Chait,CEO & Co-Founder,N/A,,NO_TWITTER,2026-01-12
Gloat,Ben Reuveni,CEO & Co-Founder,N/A,,NO_TWITTER,2026-01-12
Guild Education,Rachel Carlson,CEO & Co-Founder,N/A,,NO_TWITTER,2026-01-12
Workday,Carl Eschenbach,CEO,N/A,,NO_TWITTER,2026-01-12
LinkedIn,Ryan Roslansky,CEO,N/A,,NO_TWITTER,2026-01-12
iCIMS,Colin Day,Founder,N/A,,NO_TWITTER,2026-01-12
TrueBlue,Taryn Owen,CEO,N/A,,NO_TWITTER,2026-01-12
TrueBlue,Chris Handy,Head of AI,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Heidrick & Struggles,Tom Monahan,CEO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Robert Half,M. Keith Waddell,CEO,N/A,,NO_TWITTER,2026-01-12
Kforce,Joseph Liberatore,CEO,N/A,,NO_TWITTER,2026-01-12
Hudson Global,Jeff Eberwein,CEO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
TEKsystems,TBD (Allegis Group),President,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Pontoon,Corinne Ripoche,Global President,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
BetterUp,Prince Harry,Chief Impact Officer,N/A,,NO_TWITTER,2026-01-12
Rippling,Tony Dong,Former VP Engineering (now stealth),NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Rippling,Bogdan Cirlig,VP of Engineering,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Gusto,Danielle Brown,Chief People Officer,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Guild Education,Dean Carter,Chief People Officer,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
BetterUp,Cameran Hetrick,VP of Analytics & Strategy,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
SmartRecruiters,Mark Jewett,CMO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Phenom,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Gloat,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Guild Education,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
BambooHR,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Ashby,TBD,Co-Founder,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Checkr,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Apollo.io,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Workable,Spyros Magiatis,CTO & Co-Founder,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Fountain,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Okta,Frederic Kerrest,Executive Vice Chairman & Co-Founder,@fkerrest,https://x.com/fkerrest,VERIFIED,2026-01-12
Harver,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Qualtrics,TBD,CPO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Workday,Sayan Chakraborty,"President, Technology",NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Workday,David Somers,"GM, Product",NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
LinkedIn,Tomer Cohen,Chief Product Officer,@tomerc,https://x.com/tomerc,VERIFIED,2026-01-12
LinkedIn,TBD,VP Engineering,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
iCIMS,TBD,CPO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
iCIMS,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
SmartRecruiters,Amir Shevat,SVP Product,@ashevat,https://x.com/ashevat,VERIFIED,2026-01-12
BetterUp,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Greenhouse,Sagar P.,CTO (new),NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Lever (Employ),TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Findem,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Eightfold.ai,Nav Singh,CMO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Qualtrics,Brad Anderson,"President, Products & Services",@bradanthony,https://x.com/bradanthony,NEEDS_VERIFY,2026-01-12
Deel,Pierre Bouaziz,Executive Chairman (Founding CFO),@pbouaziz,https://x.com/pbouaziz,VERIFIED,2026-01-12
Heidrick & Struggles,TBD,Practice Lead - Tech,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Kforce,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Robert Half,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
TrueBlue,TBD,CFO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Hudson Global,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
TEKsystems,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Pontoon,TBD,CTO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
