Day,Title,How to apply (optional),URL of where to,Full JD (verbatim),Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-21,Director of Product,,jobs.lever.co/alltrails/12340b23-68b0-41e2-accd-335efaa392ba,,AllTrails,Director of Product,San Francisco,United States,,,yes
2025-09-21,Customer Success Manager - High Touch (East Coast),,jobs.ashbyhq.com/n8n/2b87bd9d-5354-40e2-9615-b72aa1b99dfa,,n8n,Customer Success Manager - High Touch (East Coast),New York,United States,GitHub; n8n,,,yes
2025-09-21,Client Success Manager,,aokallc.applytojob.com/apply/aZ7XDkaRRL/Client-Success-Manager,,Aoka,Client Success Manager,Remote,United States,,,yes
2025-09-21,Customer Success Manager - Low Touch  (East Coast),,jobs.ashbyhq.com/n8n/7caec1b3-91c4-4e96-b70d-def9733542e7,,n8n,Customer Success Manager - Low Touch  (East Coast),New York,United States,n8n; GitHub,,,yes
2025-09-20,Senior National Customer Success Manager,,snapptinc.applytojob.com/apply/NgJMbZwXOW/Senior-National-Customer-Success-Manager,,Snappt,Senior National Customer Success Manager,Remote,,,,yes
2025-09-21,Global Site Operations Program Manager,,adobe.wd5.myworkdayjobs.com/external_experienced/job/san-jose/global-site-operations-program-manager_r158755,,Adobe,Global Site Operations Program Manager,San Francisco,United States,Adobe,,yes
2025-09-20,Technical Program Manager,,jobs.ashbyhq.com/anyscale/0c2602bc-3fb7-41a0-9837-afb03f7c9503,,Anyscale,Technical Program Manager,San Francisco,United States,Anyscale,,yes
2025-09-19,Program Manager,,careworkforcesolutions.applytojob.com/apply/YnTs8hlgAV/Program-Manager,,Care Workforce Solutions,Program Manager,Remote,United States,Google,,yes
2025-09-19,Program Manager,,nuvitek.pinpointhq.com/postings/7e08e24b-d7a5-4f3d-9b02-e6085fa47a6c,,Nüvitek,Program Manager,Remote,United States,,,yes
2025-09-19,Program Manager,,innovapptive.applytojob.com/apply/RLn9WijZW9/Program-Manager,,Innovapptive,Program Manager,Remote,United States,Freshworks; Facebook; Jira; IBM; Spotify; Flipkart; LinkedIn; SAP; Basecamp,,yes
2025-09-19,Program Manager,,overgroup.applytojob.com/apply/5XtXn47MEF/Program-Manager,,Rev.io,Program Manager,Remote,United States,Rev.io; Jira; Microsoft; Asana,,yes
2025-09-19,"Program Manager, UX Research",,boards.greenhouse.io/asana/jobs/6923671,,Asana,"Program Manager, UX Research",San Francisco,United States,Asana; Google Tag Manager,,yes
2025-09-20,"Head of Sales, Voyage AI & Ventures Ecosystem",,boards.greenhouse.io/mongodb/jobs/7245855,,MongoDB,"Head of Sales, Voyage AI & Ventures Ecosystem",San Francisco,United States,Google Tag Manager; Atlas; Google Cloud; MongoDB Atlas; MongoDB; Microsoft Azure; AWS,,yes
2025-09-20,Senior FP&A Analyst (Cost of Revenue and Variable Costs),,turo.wd12.myworkdayjobs.com/turo_careers/job/san-francisco/senior-fp-a-analyst--cost-of-revenue-and-variable-costs-_r-102260,,Turo,Senior FP&A Analyst (Cost of Revenue and Variable Costs),San Francisco,United States,Anaplan; NetSuite; SQL; Excel; Google,,yes
2025-09-19,Costco Business Development Manager,,jonnypops.applytojob.com/apply/8SDjsv3hzu/Costco-Business-Development-Manager,,JonnyPops,Costco Business Development Manager,Remote,United States,Microsoft; Nielsen,,yes
2025-09-21,Spanish Customer Care Associate,,planetart.applytojob.com/apply/sH76G6MAxm/Spanish-Customer-Care-Associate,,PlanetArt,Spanish Customer Care Associate,Remote,,Slack; Intel; Hubstaff,,yes
2025-09-21,"Associate Director, Drug Product",,boards.greenhouse.io/imvtcorporation/jobs/5653167004,,IMVT Corporation,"Associate Director, Drug Product",Remote,,,,yes
2025-09-21,Associate Media Director - Brand,,boards.greenhouse.io/goodwaygroup/jobs/5650766004,,Goodway Group,Associate Media Director - Brand,Remote,,The Trade Desk,,yes
2025-09-21,Data Quality and Operations Associate,,theachievementnetwork.applytojob.com/apply/oz4KuJoN0F/Data-Quality-And-Operations-Associate,,The Achievement Network,Data Quality and Operations Associate,Remote,,HubSpot; Tableau; Salesforce,,yes
2025-09-21,Asset Management Associate,,jobs.lever.co/bisnow/d8adb5d8-247e-4210-b5c1-77bda21cc3b4,,Bisnow,Asset Management Associate,Boston,United States,Excel,,yes
2025-09-21,Regulatory Risk and Reporting Associate,,baincapital.wd1.myworkdayjobs.com/external_public/job/boston/regulatory-risk-and-reporting-associate_req_107991-6,,Bain Capital,Regulatory Risk and Reporting Associate,Boston,United States,,,yes
2025-09-21,Portfolio Compliance Associate,,cambridgeassociates.wd5.myworkdayjobs.com/cambridge_associates/job/boston/portfolio-compliance-associate_jr0000030-1,,Cambridge Associates,Portfolio Compliance Associate,Boston,United States,Excel; Microsoft; Bloomberg; Castle,,yes
2025-09-20,"Quantitative Developer, Associate - Securitized Products",,clearwateranalytics.wd1.myworkdayjobs.com/clearwater_analytics_careers/job/new-york-office/quantitative-developer--associate---securitized-products_r10840,,Clearwater Analytics,"Quantitative Developer, Associate - Securitized Products",New York,United States,Bloomberg; Python; Athena,,yes
2025-09-20,Real Estate Finance Associate / Analyst - REMOTE HIRE - US Company - $1500 - $2000,,pnet.co.za/jobs--real-estate-finance-associate-analyst-remote-hire-us-company-1500-2000-remote-somewhere--4068381-inline.html,,Somewhere,Real Estate Finance Associate / Analyst - REMOTE HIRE - US Company - $1500 - $2000,Remote,United States,Excel,,yes
2025-09-20,Medical Billing Associate - Patient Services,,jobs.lever.co/lunaphysicaltherapy/31d46ea4-b50a-486c-a75d-cb51a6c191aa,,Luna Physical Therapy,Medical Billing Associate - Patient Services,REMOTE,,,,yes
2025-09-20,"Senior Research Associate/ Research Associate, Platform",,boards.greenhouse.io/manifoldbio/jobs/4913427007,,Manifold Bio,"Senior Research Associate/ Research Associate, Platform",Boston,United States,Teachable; Manifold,,yes
2025-09-21,Billing & Collections Data Analyst,,boards.greenhouse.io/toast/jobs/7239473,,Toast,Billing & Collections Data Analyst,Remote,,Power BI; Hex; Oracle; Looker; SQL; Snowflake,,yes
2025-09-21,Data Scientist,,boards.greenhouse.io/distantjob/jobs/8173090002,,DistantJob,Data Scientist,Remote,,NumPy; SQL; Python; ETL; Power BI; Google,,yes
2025-09-21,Data Scientist,,liveramp.wd5.myworkdayjobs.com/liverampcareers/job/san-francisco/data-scientist_jr011767,,LiveRamp,Data Scientist,San Francisco,United States,SQL; scikit-learn; Spark SQL; NumPy; Spark; Python; LiveRamp,,yes
2025-09-21,Machine Learning Engineer (Remote),,jobs.ashbyhq.com/output/675db22c-8a5a-4a6e-a6c0-277edac3d87c,,Output Biosciences,Machine Learning Engineer (Remote),Remote,United States,Python; TensorFlow,,yes
2025-09-21,Machine Learning Engineer,,boards.greenhouse.io/oddball/jobs/7445579003,,Oddball,Machine Learning Engineer,Remote,,AWS; Databricks; Power BI; scikit-learn; TensorFlow; PyTorch; Python; ETL; Spark; Jupyter,,yes
2025-09-21,Network Pricing Data Analyst,,boards.greenhouse.io/capitalrx/jobs/4928438008,,Capital Rx,Network Pricing Data Analyst,Remote,,AWS; JSON; SQL; Java; Excel,,yes
2025-09-21,Senior Data Scientist,,miovision.applytojob.com/apply/PqGPpAJLYn/Senior-Data-Scientist,,Miovision,Senior Data Scientist,Remote,,Git; AWS; Looker; Snowflake; Streamlit; Python; SQL; JavaScript; C#,,yes
2025-09-21,"Senior Data Analyst, Product",,boards.greenhouse.io/calendly/jobs/8163001002,,Calendly,"Senior Data Analyst, Product",Remote,,Python; Calendly; Hex; SQL,,yes
2025-09-20,Senior Machine Learning Engineer,,boards.greenhouse.io/federato/jobs/4928316008,,Federato,Senior Machine Learning Engineer,Remote,,Veeva; Salesforce; Box; Zoom; Kubeflow,,yes
2025-09-20,Senior Data Analyst,,boards.greenhouse.io/urbancompass/jobs/7263508,,Compass,Senior Data Analyst,San Francisco,United States,PySpark; Scala; Databricks; SQL; Looker; Microsoft; Power BI; Python; Maven; Tableau,,yes
2025-09-20,"Data Analyst, Marketing",,turo.wd12.myworkdayjobs.com/turo_careers/job/san-francisco/data-analyst--marketing_r-102257,,Turo,"Data Analyst, Marketing",San Francisco,United States,SQL; Google; Go; Python; Power BI,,yes
2025-09-20,Data Analyst,,current-vacancies.com/jobs/advert/3963235?cid=3287,,One YMCA,Data Analyst,Remote,,Signpost; GDPR; Accessibility,,yes
2025-09-20,Senior Data Analyst,,jobs.ashbyhq.com/onoshealth/96e478f8-f111-46bc-97ec-50d16a6cbf21,,Onos Health,Senior Data Analyst,San Francisco,United States,Tableau; SQL,,yes
2025-09-20,"Senior Clinical Data Scientist, Data Products & Insights",,jobs.lever.co/npowermedicine/f995742b-9037-4406-aa76-95df710634d6,,N-Power Medicine,"Senior Clinical Data Scientist, Data Products & Insights",Remote,,Shiny,,yes
2025-09-20,Data Analyst Jr.,,ansiblegovernmentsolutions.applytojob.com/apply/HGBJdIIJSd/Data-Analyst-Jr,,Ansible Government Solutions,Data Analyst Jr.,Remote,United States,Sigma; Ansible; Power BI; Excel,,yes
2025-09-19,Risk Data Analyst,,jobs.ashbyhq.com/imprint/925a3502-357e-4258-9a98-ec0f6d2a6c15,,Imprint,Risk Data Analyst,Remote,United States,Tableau; Rakuten; SQL; Booking.com; Python; Airflow; dbt,,yes
2025-09-19,Principal Healthcare Data Analyst,,recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a7883d077592447017763c3f0f91146&id=8a7887ac995981fd01995e481d56397f,,b.well Connected Health,Principal Healthcare Data Analyst,Remote,,Python; SQL; FHIR; Databricks,,yes
2025-09-19,"Senior Manager, Machine Learning Engineering",,boards.greenhouse.io/gofundme/jobs/7255386,,GoFundMe,"Senior Manager, Machine Learning Engineering",Remote,,Python,,yes
2025-09-19,Finance Assistant | Bookkeeper | Data Analyst | Reports Specialist,,coworq.applytojob.com/apply/SN0bMdW9cI/Finance-Assistant-Bookkeeper-Data-Analyst-Reports-Specialist,,CoWorq,Finance Assistant | Bookkeeper | Data Analyst | Reports Specialist,Remote,,,,yes
2025-09-21,Senior Full Stack Engineer (US),,jobs.lever.co/airdna/52407dee-a35f-4331-945c-0a3675b2e7fe,,AirDNA,Senior Full Stack Engineer (US),Remote,,Python; GitLab CI; Redis; Next.js; Kubernetes; SQL; React; Docker; AWS; TypeScript; PostgreSQL,,yes
2025-09-21,"Senior Software Engineer, Full-stack",,jobs.ashbyhq.com/onebrief/7d6a2098-0889-487a-9ced-280b359ae376,,Onebrief,"Senior Software Engineer, Full-stack",Remote,United States,TypeScript; Kubernetes; Node.js; React; AWS; Redis; PostgreSQL,,yes
2025-09-21,Senior Backend Engineer,,jobs.lever.co/heartbeathealth/c6c8d211-d83b-485e-aa2c-f277a6bacd48,,Heartbeat Health,Senior Backend Engineer,remote,,Go; Actix; Heartbeat; Kotlin; Rust; AWS; OpenAPI; Serde; FHIR,,yes
2025-09-21,"Staff Backend Engineer, DevOps",,boards.greenhouse.io/pulley/jobs/4926339008,,Pulley,"Staff Backend Engineer, DevOps",Remote,,Go; Stripe,,yes
2025-09-21,Sr Software Engineer,,henryscheinone.applytojob.com/apply/curb9iq6ow/Sr-Software-Engineer,,Henry Schein One,Sr Software Engineer,Remote,,jQuery; Backbone.js; C++; HTML5; JavaScript; GitLab; Microsoft; SQL; PostgreSQL; Jira; C#,,yes
2025-09-20,Master Software Engineer,,boards.greenhouse.io/clarityinnovates/jobs/4896198007,,Clarity Innovations,Master Software Engineer,Remote,,SonarQube; Docker; Kubernetes; Spring Boot,,yes
2025-09-20,Sr Software Engineer (Salesforce),,jobs.lever.co/nava/b76d3c3b-ae12-4975-b242-e2c8fa329c1a,,Nava,Sr Software Engineer (Salesforce),Remote,,Jenkins; .NET; GitHub; Tableau; Azure; Salesforce; LinkedIn; Python; ETL; Ruby,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610454005,,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Zoom; AWS; PostgreSQL; Node.js; Telegram; Git; MongoDB; Vue.js; S3; GraphQL; Python; React; Redis,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610460005,,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Vue.js; Python; PostgreSQL; GraphQL; S3; AWS; Node.js; Zoom; Telegram; MongoDB; Redis; React; Git,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610450005,,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Node.js; Zoom; Telegram; MongoDB; PostgreSQL; Git; AWS; S3; Redis; React; Python; GraphQL; Vue.js,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610459005,,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,PostgreSQL; Node.js; Redis; Zoom; S3; GraphQL; React; Python; Git; Vue.js; AWS; Telegram; MongoDB,,yes
2025-09-20,Full Stack Engineer- Level 6,,evoportalus.tracker-rms.com/opportunity/litejob?db=westcoastconsulting&id=5778,,West Coast Consulting,Full Stack Engineer- Level 6,Remote,,React; Git; Memcached; MySQL; Maven; Oracle; Jenkins; Java; Spring Boot; JavaScript; Kafka; TypeScript,,yes
